theta_deg,wavelength_nm,LCP_inc_T_total,RCP_inc_T_total,LCP_inc_R_total,RCP_inc_R_total
-90.0,486.0,0.0799881725419447,0.07998817254194465,0.9200118274580552,0.9200118274580555
-90.0,487.0,0.07631017753028993,0.07631017753028989,0.9236898224697097,0.9236898224697103
-90.0,488.0,0.07281424386188169,0.07281424386188165,0.9271857561381182,0.9271857561381182
-90.0,489.0,0.06953338737471171,0.06953338737471167,0.9304666126252883,0.9304666126252882
-90.0,490.0,0.06648390299483548,0.06648390299483542,0.9335160970051644,0.9335160970051645
-90.0,491.0,0.06367036022155448,0.06367036022155446,0.9363296397784451,0.9363296397784453
-90.0,492.0,0.06108946537425177,0.061089465374251736,0.938910534625748,0.938910534625748
-90.0,493.0,0.058732929819838624,0.058732929819838575,0.941267070180161,0.941267070180161
-90.0,494.0,0.056589531795268336,0.05658953179526831,0.9434104682047315,0.9434104682047315
-90.0,495.0,0.054646556219559286,0.054646556219559266,0.9453534437804403,0.9453534437804404
-90.0,496.0,0.052890771504552264,0.05289077150455224,0.9471092284954478,0.9471092284954478
-90.0,497.0,0.05130907092468405,0.05130907092468402,0.9486909290753156,0.9486909290753158
-90.0,498.0,0.04988887631234611,0.049888876312346085,0.9501111236876532,0.9501111236876532
-90.0,499.0,0.048618376702564164,0.04861837670256413,0.9513816232974356,0.9513816232974359
-90.0,500.0,0.047486654654232754,0.047486654654232734,0.9525133453457668,0.952513345345767
-90.0,501.0,0.04648373785373178,0.04648373785373175,0.9535162621462678,0.9535162621462678
-90.0,502.0,0.04560060242450847,0.04560060242450845,0.9543993975754913,0.9543993975754913
-90.0,503.0,0.044829146257245156,0.04482914625724514,0.9551708537427549,0.9551708537427547
-90.0,504.0,0.04416214488105955,0.04416214488105953,0.9558378551189404,0.9558378551189404
-90.0,505.0,0.04359319830460075,0.043593198304600726,0.9564068016953996,0.9564068016953995
-90.0,506.0,0.04311667439579512,0.043116674395795085,0.9568833256042046,0.9568833256042046
-90.0,507.0,0.04272765238857482,0.04272765238857481,0.9572723476114251,0.9572723476114251
-90.0,508.0,0.04242186874691133,0.04242186874691132,0.9575781312530883,0.9575781312530888
-90.0,509.0,0.04219566669525875,0.042195666695258725,0.957804333304741,0.9578043333047411
-90.0,510.0,0.042045950107652115,0.04204595010765208,0.9579540498923479,0.9579540498923479
-90.0,511.0,0.04197014204128536,0.041970142041285345,0.9580298579587144,0.9580298579587144
-90.0,512.0,0.04196614793830248,0.041966147938302445,0.9580338520616972,0.9580338520616972
-90.0,513.0,0.04203232335532106,0.042032323355321054,0.9579676766446786,0.9579676766446787
-90.0,514.0,0.04216744598137436,0.04216744598137433,0.9578325540186253,0.9578325540186255
-90.0,515.0,0.042370691648791585,0.04237069164879155,0.9576293083512084,0.9576293083512084
-90.0,516.0,0.042641614012119376,0.042641614012119335,0.9573583859878804,0.9573583859878803
-90.0,517.0,0.042980127556333014,0.042980127556332966,0.9570198724436668,0.9570198724436669
-90.0,518.0,0.0433864935893307,0.04338649358933064,0.9566135064106694,0.9566135064106696
-90.0,519.0,0.04386130886925168,0.043861308869251624,0.956138691130748,0.956138691130748
-90.0,520.0,0.044405496510125306,0.04440549651012527,0.9555945034898743,0.9555945034898747
-90.0,521.0,0.045020298796237694,0.04502029879623767,0.9549797012037623,0.9549797012037625
-90.0,522.0,0.045707271513356455,0.04570727151335641,0.9542927284866433,0.9542927284866435
-90.0,523.0,0.04646827937073816,0.04646827937073813,0.9535317206292617,0.9535317206292617
-90.0,524.0,0.047305492038763775,0.04730549203876372,0.952694507961236,0.9526945079612361
-90.0,525.0,0.048221380260021394,0.04822138026002137,0.951778619739978,0.9517786197399779
-90.0,526.0,0.0492187114032618,0.04921871140326177,0.950781288596738,0.9507812885967379
-90.0,527.0,0.05030054371608115,0.05030054371608109,0.9496994562839188,0.9496994562839188
-90.0,528.0,0.05147021838914929,0.05147021838914922,0.9485297816108506,0.9485297816108504
-90.0,529.0,0.052731348367650054,0.052731348367649984,0.94726865163235,0.9472686516323499
-90.0,530.0,0.05408780262933732,0.05408780262933729,0.9459121973706627,0.9459121973706627
-90.0,531.0,0.05554368438822163,0.05554368438822158,0.9444563156117782,0.9444563156117781
-90.0,532.0,0.057103301373732464,0.05710330137373242,0.9428966986262676,0.9428966986262676
-90.0,533.0,0.05877112597370068,0.05877112597370061,0.9412288740262991,0.941228874026299
-90.0,534.0,0.06055174261422153,0.06055174261422144,0.9394482573857784,0.9394482573857784
-90.0,535.0,0.06244977928272815,0.06244977928272805,0.9375502207172716,0.9375502207172717
-90.0,536.0,0.06446981959064542,0.06446981959064534,0.9355301804093545,0.9355301804093545
-90.0,537.0,0.06661629123615656,0.06661629123615649,0.9333837087638431,0.9333837087638431
-90.0,538.0,0.06889332619640114,0.06889332619640103,0.9311066738035987,0.9311066738035988
-90.0,539.0,0.07130458750095657,0.0713045875009565,0.9286954124990429,0.9286954124990431
-90.0,540.0,0.07385305708896675,0.07385305708896663,0.9261469429110332,0.9261469429110333
-90.0,541.0,0.0765407791379483,0.07654077913794821,0.9234592208620517,0.9234592208620518
-90.0,542.0,0.07936855352123404,0.07936855352123391,0.9206314464787658,0.920631446478766
-90.0,543.0,0.08233557489972054,0.08233557489972042,0.9176644251002793,0.9176644251002796
-90.0,544.0,0.08543901463103401,0.08543901463103387,0.9145609853689658,0.9145609853689662
-90.0,545.0,0.08867354548401686,0.08867354548401664,0.911326454515983,0.9113264545159833
-90.0,546.0,0.09203081341135501,0.09203081341135477,0.9079691865886447,0.9079691865886449
-90.0,547.0,0.09549886668944159,0.09549886668944138,0.9045011333105584,0.9045011333105587
-90.0,548.0,0.09906156084740832,0.09906156084740808,0.9009384391525914,0.9009384391525915
-90.0,549.0,0.10269796807347233,0.10269796807347206,0.8973020319265275,0.8973020319265278
-90.0,550.0,0.10638183199123605,0.1063818319912357,0.8936181680087643,0.8936181680087644
-90.0,551.0,0.11008112213446106,0.1100811221344607,0.8899188778655389,0.8899188778655392
-90.0,552.0,0.1137577557271917,0.1137577557271913,0.8862422442728082,0.8862422442728087
-90.0,553.0,0.11736756527671244,0.11736756527671201,0.8826324347232875,0.8826324347232878
-90.0,554.0,0.120860595935576,0.12086059593557555,0.8791394040644238,0.8791394040644244
-90.0,555.0,0.1241818128739725,0.12418181287397198,0.8758181871260274,0.8758181871260282
-90.0,556.0,0.1272722822395833,0.1272722822395827,0.8727277177604169,0.8727277177604176
-90.0,557.0,0.13007085677882657,0.1300708567788259,0.8699291432211733,0.8699291432211742
-90.0,558.0,0.13251634815144325,0.1325163481514425,0.867483651848556,0.8674836518485575
-90.0,559.0,0.13455010522275865,0.13455010522275784,0.8654498947772408,0.8654498947772417
-90.0,560.0,0.13611884842134495,0.1361188484213441,0.8638811515786549,0.8638811515786555
-90.0,561.0,0.13717754611806818,0.13717754611806726,0.8628224538819319,0.8628224538819326
-90.0,562.0,0.13769207398634783,0.1376920739863469,0.8623079260136524,0.862307926013653
-90.0,563.0,0.13764138583147087,0.13764138583147,0.8623586141685291,0.8623586141685298
-90.0,564.0,0.13701895305361123,0.13701895305361045,0.8629810469463882,0.8629810469463894
-90.0,565.0,0.13583330002810118,0.13583330002810032,0.8641666999718989,0.8641666999718993
-90.0,566.0,0.13410756469412272,0.134107564694122,0.8658924353058771,0.8658924353058778
-90.0,567.0,0.1318781296754705,0.13187812967546983,0.8681218703245293,0.8681218703245299
-90.0,568.0,0.12919247754949476,0.1291924775494943,0.870807522450505,0.8708075224505053
-90.0,569.0,0.1261065046167497,0.12610650461674933,0.8738934953832498,0.8738934953832503
-90.0,570.0,0.12268156801558834,0.12268156801558805,0.8773184319844116,0.8773184319844118
-90.0,571.0,0.11898153840847603,0.11898153840847575,0.8810184615915241,0.8810184615915241
-90.0,572.0,0.11507009121112301,0.11507009121112288,0.8849299087888768,0.8849299087888768
-90.0,573.0,0.11100840617579355,0.11100840617579338,0.8889915938242067,0.8889915938242063
-90.0,574.0,0.1068533728731902,0.10685337287319015,0.8931466271268098,0.8931466271268098
-90.0,575.0,0.10265633131844513,0.1026563313184451,0.8973436686815551,0.8973436686815551
-90.0,576.0,0.09846232165459541,0.09846232165459533,0.9015376783454044,0.9015376783454045
-90.0,577.0,0.09430977868612785,0.09430977868612783,0.9056902213138721,0.9056902213138719
-90.0,578.0,0.09023058628225493,0.09023058628225493,0.9097694137177448,0.9097694137177449
-90.0,579.0,0.08625040061263044,0.08625040061263041,0.9137495993873695,0.9137495993873692
-90.0,580.0,0.08238915588133866,0.08238915588133872,0.917610844118661,0.9176108441186612
-90.0,581.0,0.07866167757376914,0.0786616775737692,0.9213383224262307,0.9213383224262305
-90.0,582.0,0.07507834268812534,0.07507834268812538,0.9249216573118745,0.9249216573118748
-90.0,583.0,0.07164574135816777,0.0716457413581678,0.9283542586418322,0.9283542586418319
-90.0,584.0,0.06836730799297988,0.06836730799297991,0.9316326920070199,0.9316326920070203
-90.0,585.0,0.06524390166711677,0.06524390166711683,0.9347560983328829,0.9347560983328826
-90.0,586.0,0.06227432468385066,0.06227432468385067,0.9377256753161495,0.9377256753161496
-90.0,587.0,0.05945577508161139,0.059455775081611394,0.9405442249183886,0.9405442249183887
-90.0,588.0,0.05678423364726129,0.0567842336472613,0.9432157663527382,0.9432157663527383
-90.0,589.0,0.054254789115428935,0.054254789115428935,0.9457452108845712,0.9457452108845712
-90.0,590.0,0.05186190705460662,0.05186190705460663,0.9481380929453929,0.9481380929453928
-90.0,591.0,0.04959964881498893,0.04959964881498898,0.9504003511850109,0.9504003511850105
-90.0,592.0,0.04746184712994311,0.047461847129943155,0.9525381528700568,0.9525381528700566
-90.0,593.0,0.04544224475100186,0.04544224475100188,0.954557755248998,0.9545577552489976
-90.0,594.0,0.04353460202692931,0.04353460202692932,0.9564653979730705,0.9564653979730704
-90.0,595.0,0.041732778733858514,0.04173277873385854,0.9582672212661417,0.9582672212661413
-90.0,596.0,0.040030794810253824,0.04003079481025383,0.9599692051897463,0.9599692051897462
-90.0,597.0,0.038422874002390854,0.038422874002390854,0.9615771259976088,0.9615771259976088
-90.0,598.0,0.03690347381653407,0.0369034738165341,0.9630965261834659,0.9630965261834661
-90.0,599.0,0.035467304621051,0.035467304621051,0.964532695378949,0.9645326953789489
-90.0,600.0,0.03410934025304917,0.03410934025304919,0.9658906597469505,0.9658906597469507
-88.0,400.0,0.0028307948233707737,0.002818303088106637,0.9971692051766289,0.997181696911893
-88.0,401.0,0.0028942235569880776,0.0028838264713798713,0.9971057764430118,0.9971161735286199
-88.0,402.0,0.002921112863402659,0.0029126510466713448,0.997078887136597,0.9970873489533285
-88.0,403.0,0.002910960017651598,0.002904234333752661,0.9970890399823481,0.9970957656662471
-88.0,404.0,0.002864608992898564,0.0028593968658250568,0.9971353910071014,0.9971406031341747
-88.0,405.0,0.002784152111808687,0.0027802225781698325,0.9972158478881912,0.9972197774218299
-88.0,406.0,0.002672775704370421,0.002669902270906758,0.9973272242956296,0.997330097729093
-88.0,407.0,0.0025345550220790642,0.002532525768698911,0.9974654449779207,0.9974674742313009
-88.0,408.0,0.0023742053647757824,0.002372830074605583,0.997625794635224,0.9976271699253947
-88.0,409.0,0.002196802577902981,0.0021959169658285972,0.9978031974220968,0.997804083034171
-88.0,410.0,0.0020074950036529076,0.002006962344953163,0.9979925049963471,0.9979930376550469
-88.0,411.0,0.0018112368907630782,0.0018109475154166577,0.9981887631092362,0.9981890524845831
-88.0,412.0,0.0016125761144804914,0.0016124453249126184,0.9983874238855193,0.9983875546750872
-88.0,413.0,0.0014155241699737085,0.0014154891583940364,0.9985844758300262,0.9985845108416059
-88.0,414.0,0.0012235233843948129,0.0012235396764969317,0.9987764766156048,0.9987764603235032
-88.0,415.0,0.0010395066273302521,0.001039544477817245,0.9989604933726695,0.9989604555221824
-88.0,416.0,0.000866021039876147,0.0008660620753533673,0.9991339789601237,0.9991339379246463
-88.0,417.0,0.0007053634184198843,0.0007053976905832112,0.99929463658158,0.9992946023094162
-88.0,418.0,0.0005596585128087045,0.0005596820133557796,0.9994403414871913,0.9994403179866438
-88.0,419.0,0.00043081574412816835,0.0004308283603047398,0.9995691842558714,0.9995691716396947
-88.0,420.0,0.0003203385571496414,0.00032034242088877624,0.9996796614428501,0.9996796575791114
-88.0,421.0,0.0002290327375021685,0.0002290309335686188,0.9997709672624976,0.9997709690664311
-88.0,422.0,0.000156733324598833,0.00015672894886981946,0.999843266675401,0.9998432710511301
-88.0,423.0,0.00010219056323127075,0.00010218613034619228,0.9998978094367684,0.9998978138696536
-88.0,424.0,6.319424318264429e-05,6.319141836959895e-05,0.9999368057568171,0.9999368085816299
-88.0,425.0,3.690654309142127e-05,3.690612995224996e-05,0.9999630934569085,0.9999630938700477
-88.0,426.0,2.0289310685849313e-05,2.029139543321903e-05,0.9999797106893141,0.9999797086045662
-88.0,427.0,1.0497665867070102e-05,1.0501819219801897e-05,0.9999895023341332,0.9999894981807802
-88.0,428.0,5.153609546879326e-06,5.1590766814119e-06,0.9999948463904529,0.9999948409233186
-88.0,429.0,2.469717503971279e-06,2.475565170204843e-06,0.9999975302824959,0.9999975244348297
-88.0,430.0,1.237945031696988e-06,1.2431654211910314e-06,0.9999987620549682,0.9999987568345785
-88.0,431.0,7.268071990349591e-07,7.303936100330945e-07,0.9999992731928004,0.9999992696063895
-88.0,432.0,5.411174841794182e-07,5.421309587631581e-07,0.9999994588825152,0.9999994578690407
-88.0,433.0,4.908489059912499e-07,4.884963359791481e-07,0.9999995091510938,0.9999995115036637
-88.0,434.0,4.946745454302416e-07,4.884255183302685e-07,0.9999995053254545,0.9999995115744814
-88.0,435.0,5.216317949118874e-07,5.114198048986776e-07,0.9999994783682052,0.9999994885801954
-88.0,436.0,5.613691143788549e-07,5.479571474311257e-07,0.9999994386308851,0.9999994520428522
-88.0,437.0,6.109932881799659e-07,5.966366452857969e-07,0.9999993890067116,0.9999994033633549
-88.0,438.0,6.697861151133806e-07,6.593901230326596e-07,0.9999993302138844,0.9999993406098772
-88.0,439.0,7.370831058456271e-07,7.400918718515323e-07,0.9999992629168939,0.9999992599081273
-88.0,440.0,8.113478278664723e-07,8.445024108585988e-07,0.9999991886521719,0.999999155497589
-88.0,441.0,8.899772006035275e-07,9.80653499998979e-07,0.9999991100227992,0.9999990193465
-88.0,442.0,9.701673113284859e-07,1.1591109310885827e-06,0.9999990298326886,0.9999988408890683
-88.0,443.0,1.0513976906460088e-06,1.3926195191359128e-06,0.9999989486023093,0.9999986073804805
-88.0,444.0,1.1394746997759896e-06,1.6949052085533627e-06,0.9999988605253002,0.9999983050947912
-88.0,445.0,1.2505452199482406e-06,2.0790789469308987e-06,0.9999987494547798,0.9999979209210534
-88.0,446.0,1.411939228463525e-06,2.5568922509747893e-06,0.9999985880607715,0.9999974431077491
-88.0,447.0,1.6568006991799996e-06,3.1404915245067773e-06,0.9999983431993006,0.9999968595084756
-88.0,448.0,2.012304388479626e-06,3.848070472689182e-06,0.9999979876956112,0.9999961519295274
-88.0,449.0,2.486053891034938e-06,4.71436333450222e-06,0.9999975139461086,0.9999952856366657
-88.0,450.0,3.059841641417579e-06,5.806949746395739e-06,0.9999969401583585,0.9999941930502534
-88.0,451.0,3.702433989866673e-06,7.249906510979165e-06,0.9999962975660095,0.9999927500934891
-88.0,452.0,4.41224348876961e-06,9.256458230293143e-06,0.9999955877565111,0.9999907435417694
-88.0,453.0,5.295004963822493e-06,1.2170731575198092e-05,0.9999947049950357,0.9999878292684248
-88.0,454.0,6.669558784866179e-06,1.6515717836207617e-05,0.9999933304412147,0.9999834842821631
-88.0,455.0,9.18046878157021e-06,2.3042810058840732e-05,0.999990819531218,0.9999769571899411
-88.0,456.0,1.3891171948306648e-05,3.278148287360875e-05,0.9999861088280512,0.9999672185171259
-88.0,457.0,2.234610089795697e-05,4.709623356959874e-05,0.9999776538991019,0.9999529037664304
-88.0,458.0,3.6619092229582623e-05,6.776676185972713e-05,0.9999633809077704,0.9999322332381405
-88.0,459.0,5.938793210052906e-05,9.711058349430417e-05,0.9999406120678994,0.9999028894165055
-88.0,460.0,9.407688540311877e-05,0.0001381646114875493,0.999905923114597,0.999861835388512
-88.0,461.0,0.0001450962489965705,0.00019493892651489028,0.9998549037510029,0.9998050610734845
-88.0,462.0,0.00021819590488791218,0.0002727565098007989,0.999781804095112,0.9997272434901994
-88.0,463.0,0.00032094733685399785,0.0003786971919999297,0.9996790526631459,0.9996213028079999
-88.0,464.0,0.0004633736480473523,0.0005221693519847074,0.9995366263519525,0.9994778306480151
-88.0,465.0,0.00065875245880845,0.0007156348081717687,0.9993412475411915,0.9992843651918283
-88.0,466.0,0.0009246136707563173,0.0009755056354164293,0.9990753863292436,0.9990244943645835
-88.0,467.0,0.0012839325590214402,0.0013232080360415478,0.9987160674409785,0.9986767919639578
-88.0,468.0,0.0017664627358954044,0.0017863540336021883,0.9982335372641044,0.9982136459663975
-88.0,469.0,0.002410038864090679,0.002399855494372227,0.9975899611359091,0.9976001445056276
-88.0,470.0,0.0032614735551506086,0.0032066305533863483,0.9967385264448491,0.9967933694466139
-88.0,471.0,0.004376350183723202,0.0042572717516440395,0.9956236498162767,0.9957427282483559
-88.0,472.0,0.005816593621905009,0.0056076949620382475,0.9941834063780948,0.9943923050379616
-88.0,473.0,0.0076443382260783675,0.007313513457107461,0.9923556617739214,0.9926864865428924
-88.0,474.0,0.009910715227129854,0.009420037057360069,0.9900892847728702,0.99057996294264
-88.0,475.0,0.012639441607382665,0.011947946182250061,0.9873605583926172,0.98805205381775
-88.0,476.0,0.015808107476793863,0.014877265944460536,0.9841918925232059,0.9851227340555395
-88.0,477.0,0.019334262639888338,0.018135697711041367,0.9806657373601114,0.9818643022889586
-88.0,478.0,0.023075909272541963,0.021599253013945427,0.976924090727458,0.9784007469860542
-88.0,479.0,0.026852591219822596,0.025110166881734303,0.9731474087801776,0.9748898331182655
-88.0,480.0,0.030483015500466275,0.028508689702403653,0.9695169844995336,0.9714913102975962
-88.0,481.0,0.03382448035135255,0.03166672922329225,0.9661755196486472,0.9683332707767079
-88.0,482.0,0.036797701210055885,0.03450979921701757,0.9632022987899439,0.9654902007829821
-88.0,483.0,0.03938978618919337,0.03702089553278803,0.9606102138108064,0.9629791044672114
-88.0,484.0,0.0416399662461398,0.03922953750991187,0.9583600337538599,0.960770462490088
-88.0,485.0,0.043618477959322645,0.04119429444846486,0.9563815220406775,0.9588057055515348
-88.0,486.0,0.045407411442246415,0.04298625794837059,0.9545925885577532,0.9570137420516289
-88.0,487.0,0.04708759811888498,0.04467723132688474,0.9529124018811148,0.955322768673115
-88.0,488.0,0.0487317048692125,0.04633312160124927,0.951268295130787,0.9536668783987503
-88.0,489.0,0.05040189500830099,0.04801135157869228,0.9495981049916988,0.9519886484213076
-88.0,490.0,0.052150180655615753,0.04976076512644316,0.9478498193443841,0.9502392348735565
-88.0,491.0,0.05402003809611776,0.051622791712448345,0.9459799619038818,0.9483772082875515
-88.0,492.0,0.05604840949747519,0.05363307385461383,0.9439515905025245,0.9463669261453859
-88.0,493.0,0.058267640310800894,0.05582312364373395,0.9417323596891989,0.9441768763562661
-88.0,494.0,0.060707167658888735,0.0582218129454884,0.9392928323411106,0.9417781870545112
-88.0,495.0,0.0633949178019509,0.060856636717006654,0.936605082198049,0.9391433632829931
-88.0,496.0,0.06635843627172702,0.06375475509776433,0.9336415637282725,0.9362452449022355
