wavelength_nm,LCP_inc_R_LCP,LCP_inc_R_RCP,LCP_inc_R_total,LCP_inc_T_LCP,LCP_inc_T_RCP,LCP_inc_T_total,RCP_inc_R_LCP,RCP_inc_R_RCP,RCP_inc_R_total,RCP_inc_T_LCP,RCP_inc_T_RCP,RCP_inc_T_total,CD_transmission,CD_reflection
469.0,0.06923617674304057,0.7202583930671896,0.7894945698102303,0.17139485361271495,0.10081803882896027,0.27221289244167524,0.7202583930671896,0.06923617674304057,0.7894945698102303,0.10081803882896027,0.17139485361271495,0.27221289244167524,0.0,0.0
472.0,0.07075517651759831,0.7187428326058453,0.7894980091234436,0.17173254752148262,0.10037676025381315,0.27210930777529574,0.7187428326058453,0.07075517651759831,0.7894980091234436,0.10037676025381315,0.17173254752148262,0.27210930777529574,0.0,0.0
475.0,0.07227654846431548,0.7171939044818116,0.7894704529461272,0.17208915825154303,0.09995614351091775,0.2720453017624608,0.7171939044818116,0.07227654846431548,0.7894704529461272,0.09995614351091775,0.17208915825154303,0.2720453017624608,0.0,0.0
478.0,0.07379973527605975,0.7156131675368804,0.7894129028129402,0.17246389860196054,0.09955552949197106,0.2720194280939316,0.7156131675368804,0.07379973527605975,0.7894129028129402,0.09955552949197106,0.17246389860196054,0.2720194280939316,0.0,0.0
481.0,0.07532421456120399,0.7140021024761418,0.7893263170373458,0.172856015276442,0.09917429260323017,0.2720303078796722,0.7140021024761418,0.07532421456120399,0.7893263170373458,0.09917429260323017,0.172856015276442,0.2720303078796722,0.0,0.0
484.0,0.07684949637745665,0.7123621166965112,0.7892116130739678,0.17326478698477624,0.09881183877980441,0.27207662576458064,0.7123621166965112,0.07684949637745665,0.7892116130739678,0.09881183877980441,0.17326478698477624,0.27207662576458064,0.0,0.0
487.00000000000006,0.07837512095883035,0.7106945487737343,0.7890696697325646,0.17368952266984403,0.09846760363184329,0.2721571263016873,0.7106945487737343,0.07837512095883035,0.7890696697325646,0.09846760363184329,0.17368952266984403,0.2721571263016873,0.0,0.0
490.00000000000006,0.07990065661929495,0.7090006726345145,0.7889013292538094,0.17412955985100698,0.09814105071293114,0.2722706105639381,0.7090006726345145,0.07990065661929495,0.7889013292538094,0.09814105071293114,0.17412955985100698,0.2722706105639381,0.0,0.0
492.99999999999994,0.0814256978181748,0.7072817014381624,0.7887073992563371,0.17458426307539998,0.09783166990177052,0.2724159329771705,0.7072817014381624,0.0814256978181748,0.7887073992563371,0.09783166990177052,0.17458426307539998,0.2724159329771705,0.0,0.0
495.99999999999994,0.08294986337371377,0.705538791190117,0.7884886545638308,0.1750530224693245,0.09753897588894242,0.2725919983582669,0.705538791190117,0.08294986337371377,0.7884886545638308,0.09753897588894242,0.1750530224693245,0.2725919983582669,0.0,0.0
499.0,0.08447279481246278,0.703773044107818,0.7882458389202809,0.17553525238254042,0.09726250676117391,0.27279775914371435,0.703773044107818,0.08447279481246278,0.7882458389202809,0.09726250676117391,0.17553525238254042,0.27279775914371435,0.0,0.0
502.0,0.08599415484325842,0.7019855117577021,0.7879796666009605,0.17603039011882307,0.09700182267613933,0.27303221279496237,0.7019855117577021,0.08599415484325842,0.7879796666009605,0.09700182267613933,0.17603039011882307,0.27303221279496237,0.0,0.0
505.0,0.08751362594556115,0.7001771979805678,0.7876908239261289,0.17653789474665793,0.09675650462136504,0.27329439936802297,0.7001771979805678,0.08751362594556115,0.7876908239261289,0.09675650462136504,0.17653789474665793,0.27329439936802297,0.0,0.0
508.0,0.08903090906283469,0.698349061621113,0.7873799706839477,0.17705724598441927,0.09652615325129964,0.2735833992357189,0.698349061621113,0.08903090906283469,0.7873799706839477,0.09652615325129964,0.17705724598441927,0.2735833992357189,0.0,0.0
511.00000000000006,0.09054572239246478,0.6965020190761914,0.7870477414686561,0.17758794315481455,0.09631038779707772,0.27389833095189225,0.6965020190761914,0.09054572239246478,0.7870477414686561,0.09631038779707772,0.17758794315481455,0.27389833095189225,0.0,0.0
514.0,0.09205780026446181,0.6946369466751287,0.7866947469395904,0.1781295042037687,0.09610884504391592,0.27423834924768464,0.6946369466751287,0.09205780026446181,0.7866947469395904,0.09610884504391592,0.1781295042037687,0.27423834924768464,0.0,0.0
517.0,0.09356689210186588,0.6927546829043977,0.7863215750062635,0.17868146477929403,0.09592117837147135,0.2746026431507654,0.6927546829043977,0.09356689210186588,0.7863215750062635,0.09592117837147135,0.17868146477929403,0.2746026431507654,0.0,0.0
520.0,0.09507276145638147,0.6908560304879395,0.785928791944321,0.17924337736621784,0.09574705685284066,0.2749904342190585,0.6908560304879395,0.09507276145638147,0.785928791944321,0.09574705685284066,0.17924337736621784,0.2749904342190585,0.0,0.0
523.0,0.09657518511332433,0.6889417583335529,0.7855169434468772,0.1798148104729633,0.09558616440820997,0.27540097488117327,0.6889417583335529,0.09657518511332433,0.7855169434468772,0.09558616440820997,0.1798148104729633,0.27540097488117327,0.0,0.0
526.0,0.09807395226046767,0.6870126033549272,0.7850865556153949,0.18039534786684375,0.09543819900945433,0.2758335468762981,0.6870126033549272,0.09807395226046767,0.7850865556153949,0.09543819900945433,0.18039534786684375,0.2758335468762981,0.0,0.0
